88 pid:1 1:197762 2:2880401 3:35 4:16 5:4.5 6:35393 # e93a0a31-05dd
98 pid:1 1:131826 2:1920145 3:11 4:2 5:2245.75 6:0 # 12c5bd62-f514
78 pid:1 1:99073 2:1442163 3:30 4:12 5:8 6:8 # a1146e55-52a5
112 pid:1 1:98876 2:1440156 3:16 4:5 5:509.5 6:237064 # 9acbd6e9-1e44
136 pid:1 1:65915 2:960087 3:12 4:3 5:5819.625 6:55840 # edaca8c4-e32d
108 pid:1 1:65913 2:960075 3:6 4:1 5:9888.875 6:10058 # d8dae9d4-a2e9
37 pid:1 1:164790 2:2400235 3:17 4:5 5:1 6:77 # 0854f7ff-04a1
42 pid:1 1:65919 2:960121 3:13 4:4 5:81 6:81 # 6d427f93-5ea0
92 pid:1 1:65913 2:960076 3:7 4:1 5:106.125 6:774 # 1940d65e-b62a
82 pid:1 1:65917 2:960104 3:15 4:5 5:61 6:61 # 8dd33f77-4a8f
90 pid:1 1:131829 2:1920171 3:17 4:6 5:81 6:81 # c52dec46-f2e3
56 pid:1 1:164790 2:2400235 3:17 4:5 5:2 6:77 # 74864cc0-8221
26 pid:1 1:98876 2:1440152 3:12 4:5 5:3 6:2 # 99b8e53c-a16c
119 pid:1 1:131829 2:1920148 3:7 4:4 5:61019.75 6:738 # 4736d41b-a904
114 pid:1 1:131829 2:1920148 3:7 4:4 5:61040.25 6:738 # dd9f2017-de62
105 pid:1 1:65923 2:960142 3:17 4:6 5:9822.375 6:10017 # 28e9e3b1-d44e
28 pid:1 1:65913 2:960074 3:6 4:2 5:32.875 6:3132 # 73fc506f-46fd
109 pid:1 1:131831 2:1920165 3:9 4:4 5:523.875 6:2631 # e5591f26-5272
75 pid:1 1:131826 2:1920140 3:6 4:2 5:173 6:177 # 1462dcf1-60b0
141 pid:1 1:263789 2:3841556 3:85 4:34 5:9822.375 6:10017 # 497b0674-dac0
86 pid:1 1:65913 2:960076 3:7 4:5 5:86 6:86 # a91a6868-5692
68 pid:1 1:131829 2:1920151 3:6 4:2 5:171.375 6:278496 # ab1704dc-2409
85 pid:1 1:65914 2:960082 3:9 4:2 5:23 6:25 # 72acd5a2-ff2e
139 pid:1 1:263904 2:3841985 3:20 4:12 5:57.75 6:16 # 28fbbf7f-39a3
94 pid:1 1:131825 2:1920148 3:16 4:5 5:81 6:81 # 92539a8b-9ea8
117 pid:1 1:65955 2:960545 3:7 4:3 5:578.625 6:0 # 681b5d74-fbd6
107 pid:1 1:197744 2:2880262 3:26 4:10 5:714.5 6:102 # 8b8975eb-975f
115 pid:1 1:131968 2:1921732 3:11 4:5 5:523.875 6:2631 # c74884c3-9a11
87 pid:1 1:131870 2:1920613 3:8 4:5 5:33 6:3 # 6d384cf1-3fd0
38 pid:1 1:2343245 2:34113637 3:20 4:7 5:64.625 6:56 # 01163cff-7530
10 pid:1 1:65919 2:960107 3:8 4:3 5:8.625 6:27 # 85c83a63-a701
97 pid:1 1:65914 2:960078 3:7 4:3 5:20247.125 6:20364 # b23dc006-ee01
145 pid:1 1:98870 2:1440112 3:10 4:3 5:34836.375 6:35106 # d8c51df9-3658
57 pid:1 1:164853 2:2400714 3:27 4:11 5:27 6:27 # c436936a-2136
29 pid:1 1:131832 2:1920183 3:11 4:3 5:8 6:26 # cc0d6288-7129
43 pid:1 1:65919 2:960129 3:19 4:6 5:2 6:83 # 35cddc7c-42ee
79 pid:1 1:197799 2:2880681 3:14 4:8 5:26 6:27 # da1061c2-09e5
77 pid:1 1:66038 2:961255 3:15 4:10 5:29.375 6:43 # 6a1ebf87-5d6a
73 pid:1 1:65913 2:960074 3:6 4:1 5:823.5 6:823 # ec888ddb-07e3
132 pid:1 1:131828 2:1920144 3:6 4:3 5:46941.25 6:47118 # a3436720-8474
127 pid:1 1:131826 2:1920140 3:6 4:1 5:64887.125 6:45468 # 9a969c60-9251
116 pid:1 1:131827 2:1920153 3:15 4:3 5:40556.625 6:92102 # 4bf02325-6041
47 pid:1 1:197746 2:2880255 3:11 4:6 5:2 6:169 # 917c3f91-19a2
40 pid:1 1:65914 2:960081 3:8 4:2 5:1 6:25 # 3547f107-0732
67 pid:1 1:65913 2:960076 3:7 4:1 5:856.75 6:774 # 1cb910a9-a8be
65 pid:1 1:65919 2:960102 3:8 4:5 5:246 6:33 # 9a6ac074-c997
27 pid:1 1:131832 2:1920174 3:11 4:5 5:4 6:3155 # db700e7b-340c
13 pid:1 1:131826 2:1920140 3:6 4:1 5:5 6:0 # 56abfe78-6725
71 pid:1 1:98871 2:1440121 3:13 4:4 5:19.75 6:237064 # 286e0fbd-3471
51 pid:1 1:65928 2:960170 3:21 4:6 5:50 6:2096 # fbd4b5d3-4b14
55 pid:1 1:131826 2:1920146 3:12 4:1 5:117.625 6:45417 # 762a2482-527e
24 pid:1 1:131828 2:1920145 3:6 4:3 5:6.125 6:0 # 075403d5-4c5c
11 pid:1 1:131826 2:1920140 3:6 4:2 5:20 6:2337 # 6a0ccb45-5cfd
23 pid:1 1:131828 2:1920145 3:6 4:5 5:5.875 6:7 # 95d28104-a2ec
62 pid:1 1:65915 2:960085 3:6 4:3 5:124 6:122 # 0aa57abc-6eb6
25 pid:1 1:65919 2:960121 3:11 4:3 5:20 6:42892 # 7735342e-bdae
