LoggingID	PotentialMethodCalls	PotentialInstructions
0334ea0a-06e0	65922	960123
b2ef8a94-dcc1	164782	2400176
ae1cb794-384e	131829	1920148
25a76f8f-7e57	65913	960070
be75373a-924d	65913	960070
7b31eaf7-5f6e	65913	960069
1462dcf1-60b0	131826	1920140
0854f7ff-04a1	164790	2400235
7018d6fe-1c8a	65913	960072
dfe8c4ed-cd71	65913	960069
678a4498-fa8a	164782	2400173
b7708b4d-e389	65913	960069
aaebce9e-cec9	65913	960070
9508be39-8209	65913	960071
a4d7d66f-7f6b	65916	960090
15a63e1e-1be7	65913	960071
734ef112-98a2	65913	960069
abce50c2-2f93	65913	960069
c33f8951-2bfd	65914	960072
3547f107-0732	65914	960081
52a8eaaa-b5fa	197904	2881750
7f73e7b6-f1f6	65913	960073
5d0f3428-fa5e	65913	960069
8fc09dcc-406c	131910	1920995
4bb5b28c-313b	164782	2400173
72acd5a2-ff2e	65914	960082
bb025aec-12e1	65914	960073
5eadffa6-4f68	65913	960070
7a280b3a-78f2	65913	960071
fbab00af-e879	65921	960104
