,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
979bd3c1-f640,266,501094,14966,266,13120,128,131826,1920143,9,1,0,200,216,416,207
6d427f93-5ea0,81,148344,19480,81,4432,216,65919,960121,13,4,81,159,185,344,171
422718e4-17ec,12,50727,15411,12,768,104,131826,1920139,5,1,2703,113,122,235,122
d9ff3f6c-acff,419,611763,17701,419,7016,112,65913,960070,2,1,436,205,200,405,201
9391e002-7ba1,1,5960,5960,1,216,216,65918,960101,6,3,26,16,49,65,26
85c83a63-a701,8,22306,14118,8,1208,304,65919,960107,8,3,27,73,146,219,111
a63d8cff-167b,162,3644441,235635,162,209392,3272,65922,960151,22,7,81,260,283,543,272
a04a2916-bd20,10117,11760369,541907,10117,120472,864,65913,960070,2,1,80,283,269,552,277
b83c5b3d-2d40,296,11527898,258218,296,417272,1600,98869,1440104,4,2,326,282,294,576,292
10082a36-a2d2,45965,42784512,376880,45965,614104,40208,65913,960071,3,1,81847,311,309,620,308
75d0a8b9-2885,162,438898,23376,162,462080,3312,65916,960093,5,3,211,194,298,492,249
8b8975eb-975f,719,27263297,1303014,719,2092800,4224,197744,2880262,26,10,102,298,325,623,312
5c15fc2f-fa08,3,64780,36816,3,360,168,65913,960071,2,1,4,127,78,205,102
417422c7-b292,81,523362,223911,81,5208,256,65919,960129,19,6,81,203,192,395,195
c25e4b47-2e66,1214,1892744,57721,1214,28808,1880,65913,960072,4,1,862,244,233,477,241
c7cc96fd-39db,3,9636,6136,3,0,0,65913,960069,2,1,3,31,6,37,10
a456fa5d-c764,2,4075,2301,2,112,112,65914,960074,4,2,66,10,14,24,5
7225abb1-7a44,4,8916,2784,4,448,200,65916,960096,6,2,1669,25,91,116,58
8dd33f77-4a8f,61,443692,31926,61,2496,168,65917,960104,15,5,61,195,161,356,174
a6dde749-2438,3,22335,7769,3,360,120,131831,1920168,8,4,0,74,80,154,78
97e023ce-a248,5,18650,5738,5,200,104,131826,1920139,5,1,0,62,45,107,52
ced1ac55-a59e,4,15846,10037,4,280,184,98873,1440135,9,3,4,50,62,112,56
db93285f-4105,1,36581,36581,1,168,168,65914,960071,2,2,5,100,31,131,67
82dcf9c6-849d,614,3112782,35492,614,177984,416,65951,960521,12,3,170,255,276,531,263
db4d2852-4a1b,33,148154,15164,33,936,112,65914,960074,4,2,66,158,135,293,151
fbd4b5d3-4b14,50,307339,50349,50,6584,264,65928,960170,21,6,2096,179,197,376,185
1462dcf1-60b0,179,1653093,102019,179,111864,6800,131826,1920140,6,2,177,241,268,509,257
903fd158-75fc,19,20463,1873,19,72,72,65913,960069,2,1,19,69,11,80,34
58359ea0-0612,1,2323,2323,1,96,96,65913,960069,2,1,16,3,13,16,2
1fda4b38-98ac,9,9406,2808,9,320,128,131826,1920140,5,1,298,29,71,100,46
a8a07652-2a6d,2,30503,15455,2,240,120,131829,1920153,6,2,2,92,52,144,70
0cf66a63-5abf,9669,112773421,9164255,9669,11357600,6976,98870,1440109,4,3,10017,328,329,657,330
f9593a4a-cd0f,74927,17312764,128630,74927,2379176,1304,65916,960092,3,2,219,288,326,614,307
