,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
3baf8047-c7b0,82,90166,17483,82,4104,216,10674,190191,2,1,2768,27,26,53,26
5a09e694-a0c6,11360.4,6378141.4,125460,11360.4,3271968,360,315,2768,12,6,229483,109,128,237,120
8aef9db9-5356,189.1,80121.4,24774,189.1,9110.4,160,0,3,3,1,98281,25,40,65,34
32836a0f-4a38,12,49365.9,24583,12,1040,240,10672,190186,11,1,33,18,12,30,12
20959409-c325,6864.6,1689078.4,67297,6864.6,329860.8,120,0,3,3,1,98281,78,93,171,85
d381e18c-e795,521.1,229710.9,43330,521.1,25268.8,112,0,3,3,1,98281,38,48,86,42
a7c3ba75-8778,1117.7,1114274.5,68062,1117.7,56861.6,136,224,1880,5,1,1135,69,66,135,68
68d34779-b343,388,1302904.7,636929,388,25417.6,224,196,1699,2,1,511,77,49,126,58
cc4e8dc2-88e7,589.5,2010382.8,49482,589.5,661144,1224,97,944,12,5,594,85,105,190,97
5cfae5ad-1e7b,880.4,3264888.3,127350,880.4,701361.6,2504,294,2638,7,6,1065,95,109,204,102
6739c123-eee8,11,73157.1,27274,11,7160,760,341,3023,16,10,2,24,34,58,30
dad78a75-b5a8,281564.7,105051344.9,7401713,281564.7,25757584.8,1368,10714,190489,6,2,998077,161,155,316,161
150ffc28-7923,11179,220798979.8,55145350,11179,73670334.4,7760,405,3647,16,11,11179,164,165,329,166
6938b92b-aaf0,14714.2,69614653.4,35188017,14714.2,39075876,58272,159,1556,16,10,98243,157,161,318,162
50f40c93-c174,127983.2,18981348.4,54347,127983.2,19061267.2,1560,271,2325,10,5,785009,128,151,279,138
2ee7e37f-bf77,17218.4,32521088.7,7369732,17218.4,23275236,1464,221,2163,15,11,76380,136,153,289,146
cd3d4408-933b,1449.8,11599189.6,686819,1449.8,2040016,2112,363,3248,15,8,242171,117,125,242,125
304a336d-5ef6,406714.9,104590802,656095,406714.9,19523188,1304,5398,95399,9,1,1354011,160,152,312,159
29eb2c19-fd7f,590.5,2065309.1,75397,590.5,550404.8,2440,97,944,12,5,595,87,102,189,95
2245dc34-4df1,704,1149704.9,63549,704,36808,152,196,1699,2,1,916,70,57,127,61
3b91bc7e-30a6,1161.7,4028712.3,54882,1161.7,759807.2,776,277,2404,11,6,1181,100,112,212,107
11b30af4-a14a,17238.1,18563257.9,142819,17238.1,6263632.8,368,212,2109,15,11,76380,127,131,258,131
a614dd4b-a035,406715,1543039771.9,62826358,406715,727385176,682096,317,2777,10,5,1354011,172,172,344,172
f131b80d-a8db,2035.5,8902637.6,161634,2035.5,1344234.4,1912,339,3014,13,8,3512,114,119,233,117
12c5ac96-eebb,16,51411.9,28131,16,159.2,712,196,1699,2,1,23,19,3,22,8
94592dcb-4fd5,68,2013186.7,7204538,68,40800,600,295,2585,11,6,74,86,60,146,75
