,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
09c62754-a65d,1493139.5,164063842688,464507202,1493139.5,27212383872,31742808,30672,409662,23,15,1148190,218,217,435,218
7754c682-e48e,34081.6,329516330.9,146235317,34081.6,5077324,376664,59804,805360,11,5,71262,166,137,303,153
e37422be-b37b,38.8,180428,71838,38.8,3360,208,59747,804911,19,5,79430,36,15,51,26
f7dfbe08-a9b4,1,69646.9,105131,1,1584,1584,165,1578,15,11,8,20,7,27,11
b60293d6-e32b,15,865661.7,135467,15,76376,6144,30086,404556,17,10,17,62,62,124,59
6dff2bb2-d0b6,35,449144,142120,35,36632,1288,193,1883,20,10,81,53,52,105,52
bb69a3e9-d2cb,24264.2,58903914.7,901677,24264.2,12760400,1792,227,2356,17,9,841357,143,153,296,149
62df68c8-99e2,3,27409.5,26461,3,4736,1712,294,2986,19,15,3,11,18,29,12
729287b3-23ce,179.4,972571.8,322464,179.4,216622.4,3200,347,3478,24,17,287,68,79,147,71
fd5e0ee4-c103,1480253,7212808788,149079497,1480253,814356436,3997832,685,5720,21,12,1148190,208,207,415,208
64b031bb-fbd3,182.6,10450092.3,4874878,182.6,238184,8024,30121,404968,19,13,191,113,82,195,99
24c9dba5-6722,84967.2,76365079.5,2600391,84967.2,50540018.4,6888,314,3082,22,12,701566,150,172,322,161
e2b3c47c-5c36,1698.4,114775143.1,2678214,1698.4,13669197.6,127344,30430,406992,18,9,4917,156,154,310,157
924f104a-6f50,91902.2,32648168.5,5969102,91902.2,21274726.4,4512,810,7009,24,17,26770,134,157,291,144
641f568e-faaa,3,1421857.5,1367660,3,213330.4,119824,747,6389,22,12,6,76,77,153,77
2058911d-6abd,6,29322.2,23417,6,6456,1304,343,3373,20,15,6,12,24,36,16
b9e20b78-9dab,84.1,8461484.2,473045,84.1,764865.6,10160,415,4039,23,17,66942,110,99,209,107
7aaaaccf-a1fc,349,55964749.4,8105815,349,4133969.6,114160,750,6407,17,12,368,142,136,278,138
9275fb8d-0629,5,38476.6,26484,5,7832,1656,296,3079,17,12,5,16,29,45,21
afb75477-d1a9,6,20503.3,17222,6,352,112,60045,807632,22,11,6,9,2,11,5
6d174fc0-8101,49844.6,12303804707.9,5161156160,49844.6,473338165.6,2269848,287,2797,19,14,35810,213,201,414,207
e4369113-8c33,21361.8,701741046.4,48406013,21361.8,66994996,100280,257,2576,20,13,21610,181,174,355,178
dd7ec59d-2fc8,5,818894.7,252186,5,134540.8,27232,318,3103,21,15,47,59,66,125,60
5e812cfa-d054,15,106818,32846,15,8736,832,291,2995,19,12,16,27,33,60,31
0e3e39d0-abbc,9,88095.7,72245,9,6608,840,188,1850,17,10,9,25,25,50,24
38e291df-63a0,20851.1,545554875.1,4445853,20851.1,128367084.8,17240,316,3095,24,16,21120,175,178,353,176
a7e2f770-302a,322.9,5485406.1,203490,322.9,190596.8,4080,654,5476,17,9,1999,96,73,169,84
33e0135a-fb3e,233254.6,449967179.3,27425856,233254.6,210859433.6,2160,699,6028,17,12,115494,170,186,356,179
c12c10e4-7a68,1480252.9,98508269557.3,1697789124,1480252.9,32045465982.4,471607064,30672,409660,21,15,1135835,217,218,435,217
cb094ff2-264f,1283,9459280,587451,1283,5569954.4,16352,849,7370,37,21,5414,112,140,252,124
e1040770-8d31,6,590002.7,286263,6,28912,5064,29888,402574,25,10,6,56,49,105,53
dfc06fa1-f6bd,2081.3,107738506.3,5378165,2081.3,5587391.2,6832,756,6598,17,11,1879,155,141,296,150
c85e09ab-5ef9,1960458.2,809385922.4,18868743,1960458.2,207645764,157032,59742,804876,20,9,1843413,182,185,367,185
a0aebd98-df82,50014.6,5418993141.9,558521799,50014.6,1332510729.6,56248,97,949,17,11,49967,207,212,419,211
6102dacd-1ca5,393.9,82564775.9,6388544,393.9,5087739.2,426264,750,6407,17,12,466,152,138,290,143
1b183d01-a828,2,299532,244469,2,10220.8,5208,59768,805019,21,5,2,47,36,83,41
70decd5f-3383,2,13259.5,8851,2,3160,1648,355,3592,20,16,2,3,14,17,7
aade32bf-b15f,34,216726.6,49482,34,4432,464,269025,3623400,20,10,293,39,16,55,29
2b92ad30-7196,4897,65658960.3,7977233,4897,6492891.2,153808,30643,409377,16,14,410,148,144,292,146
102289d4-ca7e,3502,1052758791.9,29560797,3502,29282900.8,10592,292,2829,24,18,4021,186,166,352,175
75328f07-8494,353056.5,3277820966.2,79499809,353056.5,226646644,10224,120092,1614716,16,9,108929,203,188,391,196
d564f930-a041,151376.7,1838123637.2,223694686,151376.7,430897653.6,74144,29878,402491,26,7,153377,193,199,392,197
ea5e69a7-d537,18,882446.1666666666,314548,18,95352,5568,225,2190,20,13,18,64,63,127,62
8564d66f-7e83,145.9,526821.3,31641,145.9,216846.4,3800,159,1550,17,11,228,54,80,134,66
0e73067c-6125,880,4582132,359110,880,1269386.4,2600,318,3102,20,14,21496,93,112,205,104
3ea1bbc3-b184,698,4368019.1,516952,698,1078904.8,160968,30272,406384,21,16,449711,92,108,200,100
e97af303-1189,62243.8,1947651520.4,35672484,62243.8,278048596,335776,221,2165,17,13,59954,195,189,384,191
de6dcc0e-9441,48.2,6458743.3,397640,48.2,546776,43832,225,2188,18,13,99,101,92,193,97
6ba8d941-6f65,3,237842.3,123637,3,141941.6,47496,873,7621,27,17,6,42,67,109,55
5129edf7-54b0,66.5,917667.5,47052,66.5,332189.6,5288,714,5970,21,11,62,66,84,150,74
c71f95da-931d,41203.9,1155280710.2,7841310,41203.9,352301740,28120,486,4765,30,23,42497,187,195,382,189
238290e4-6aea,3,13302,18163,3,2840,1120,233,2464,18,12,15,4,10,14,6
ad05e29a-1d3e,4391.3,204685811.4,4800921,4391.3,17395826.4,37888,692,5981,19,11,5004,161,155,316,160
20f7ac32-1a57,433008.8,7780750399.1,64963214,433008.8,683084557.6,19824,757,6522,17,12,6187123,209,206,415,209
1f0f199b-4a5b,11106.4,267034214.3,24574010,11106.4,90528846.4,28400,30311,406734,23,19,47479,165,175,340,169
ecda844d-267e,133.7,1138683.9,604269,133.7,37337.6,6528,59768,805025,18,7,163,72,53,125,61
24fbe370-73a8,3581.8,17705133.2,409944,3581.8,4133189.6,6544,314,3079,19,14,6005,120,135,255,126
28c03cd9-09b4,160,11165561.9,6367403,160,963480.8,7392,409,4006,23,21,160,115,106,221,112
d71b9852-ae35,18656.5,446501210.9,84375750,18656.5,28497199.2,2056312,687,5792,18,12,20064,169,165,334,167
d264fbcf-c7e8,190,1303430.8,481535,190,1312811.2,8560,289,2795,18,15,300,74,114,188,94
0f5120ad-6c87,82,10782238,439586,82,1156718.4,14600,254,2481,18,12,498,114,109,223,113
5085b5b4-92a7,91902.2,59112765.6,8926196,91902.2,27232187.2,5424,657,5423,20,15,26833,144,163,307,155
90e4fc61-f8c5,805.1,20043947.6,1550949,805.1,454673.6,4944,722,6136,28,21,112,122,90,212,108
acb185af-8830,34081.6,27552132.9,8829515,34081.6,3174656.8,99184,149796,2015576,34,12,71262,129,129,258,129
cb5274fd-09aa,262.9,42092514.8,38384202,262.9,5471308,5208312,269025,3623400,20,10,293,138,139,277,137
93977772-519c,740.1,6477979.6,226001,740.1,1253812.8,25696,625,5190,20,13,840,102,111,213,109
76938588-262b,338.9,36696298.9,574975,338.9,1586003.2,19144,89612,1207288,12,6,333,135,121,256,127
70a2e78e-fccd,547.5,144206068.5,14290175,547.5,6791096,747392,816,7041,21,15,780,158,146,304,154
cfaedbdb-27a3,4174.2,506452482.4,31660482,4174.2,26399665.6,7776,316,3091,20,15,35810,173,162,335,168
1fd5c829-b4f4,2,418763.9,300669,2,12592,6344,253,2471,23,15,2,51,39,90,44
d4df4045-e8f4,1424,97477687.3,5022430,1424,6329648,23568,223,2176,17,12,1802,153,142,295,148
5d9bd2d7-d0ee,96038.8,593383552.6,17496787,96038.8,31056871.2,1616,59831,806107,17,7,95911,177,167,344,172
a1c98f22-ce2f,2,8704.6,12148,2,288,240,89711,1208221,22,14,8005,2,1,3,1
084a85f5-b279,195,23198528.7,1444147,195,1336113.6,7144,343,3377,24,18,1120,126,116,242,121
4572219d-3b00,2,302262.3,210419,2,15102.4,7872,30152,405188,19,13,21183,48,43,91,46
5dfef005-59ff,68,922567.7,45329,68,389752,6520,329,3323,19,13,12,67,89,156,79
d30ed417-1b7a,10,843699.4,189434,10,45632,4832,126,1243,18,10,10,61,56,117,57
b6f44009-3101,512.3,28781495.7,293719,512.3,3361635.2,7456,59752,804937,18,10,286,131,130,261,131
2ebc8b83-a2ce,792.8,11891667.8,823707,792.8,1289563.2,8664,223,2176,17,13,1290,117,113,230,117
61a2bb6e-794a,41955.9,3136396944,42581287,41955.9,509467316.8,5255000,223,2176,17,12,42325,201,203,404,200
9ae994c1-907e,480.9,61551996.1,16266954,480.9,2963732.8,1732888,298803,4025144,19,9,338,146,127,273,136
0c7d337b-d8cb,158.9,2122907.9,502593,158.9,856568,361984,331,3227,19,16,233,79,102,181,88
4a15af6a-e00c,1119.9,70762744.2,7292199,1119.9,7890280.8,13560,409,4011,28,19,1317,149,149,298,151
56330a17-6542,7,196527.7,335667,7,8592,1424,252,2469,17,11,7,38,32,70,36
04d3446f-1f82,8787.2,1588282476,88157134,8787.2,48182308,10088,783,6723,18,13,9192,191,171,362,184
0765a0ae-0739,1622691.1,8551874968.2,508209062,1622691.1,4546539005.6,270312,655,5486,19,9,1215247,211,215,426,215
ff7a6536-49ab,380.7,30690028.1,1223405,380.7,2388112,17312,194,1962,19,13,146,133,124,257,128
2f311aa1-bf33,353056.7,911053905.5,19832188,353056.7,218075433.6,24456,624,5228,14,9,108929,184,187,371,187
1568e735-c675,353056.7,2490554583.7,73415068,353056.7,1014178937.6,113200,1157,10548,30,25,108929,200,211,411,205
2730ce63-9b21,105219.7,18595101418.1,55330383,105219.7,621138950.4,20360,223,2176,17,11,118687,214,205,419,212
d100afa6-ea4c,109.5,1064791.3,54683,109.5,72225.6,2408,148,1437,20,13,181,69,61,130,65
275b55c3-a920,179455.1,27595748418.3,53274800,179455.1,1003833183.2,208944,285,2786,19,13,118687,215,210,425,213
1e3b860e-e752,191769.1,3161597278.8,66244091,191769.1,337361238.4,534968,684,5778,18,12,70040,202,193,395,199
d67e58aa-9337,10368.5,407305809.2,32630386,10368.5,108814762.4,291856,686,5795,23,16,22682,167,176,343,170
f3d6ea49-cfa6,236,25758063.3,751647,236,1515012.8,6784,343,3377,24,17,1156,128,120,248,123
0aa471e0-41a5,930.5,3928342.2,103633,930.5,876919.2,1088,30621,408828,20,14,224,89,103,192,95
74298e88-6e15,98088.9,8307528865.1,148599835,98088.9,508406268,82736,219,2154,17,12,139814,210,202,412,206
a0f8b938-056f,10.9,8374560.3,3192454,10.9,178464.8,30120,89974,1210813,94,53,8918,109,72,181,90
67aef21d-cb28,2,124782.6,154461,2,14408,7256,262,2602,28,19,187,32,42,74,38
d688d402-cb38,10,49876.1,22131,10,15552,1744,157,1546,17,7,5,18,44,62,33
c719a9ea-31b7,37,4180345.1,303984,37,553712,21200,221,2166,18,13,38,91,94,185,92
4721ab8f-dec6,290.3,6388881,158894,290.3,555792,2184,326,3380,17,12,805,99,95,194,98
a7ecf72d-88b0,2220,214296855.3,32491831,2220,10976402.4,19384,59749,804908,17,9,333,163,151,314,158
b497b81b-b750,41,3881139.1,439277,41,339753.6,10616,30213,405800,23,16,76,87,85,172,86
d6bd82eb-a8a5,157,2333325.8,233583,157,148648,1272,60500,811446,28,19,157,82,69,151,75
30dcdd99-9a88,8377.4,853764885.4,32885317,8377.4,45331086.4,9072,219,2154,17,12,37843,183,170,353,177
1b7374e2-c4ce,43393.1,1394264669.6,6628968,43393.1,311219149.6,11280,192,1872,17,10,43989,188,191,379,188
f5e93cfa-5c8c,1006.1,61451231.2,8319661,1006.1,7262737.6,14448,409,4011,28,19,1165,145,147,292,145
6d88ef5e-4838,39.4,250444.7,34385,39.4,27517.6,840,567,4595,17,14,16,43,48,91,45
b291db57-b14b,1,875974.5,1141683,1,16584,16584,690,5810,17,10,55,63,45,108,54
5d5465a6-f32e,138.3,18349775.6,762554,138.3,2296628,56800,30283,406446,23,18,136,121,123,244,122
99e997b8-cd11,135,8349019,1355177,135,624841.6,19928,316,3088,17,12,13610,108,96,204,103
2afb3090-5a8e,8,70798.7,67514,8,5872,1112,715,6081,17,11,13,22,22,44,20
d4ac3cf2-053b,480.9,82325375.3,3883470,480.9,4025116.8,17768,29870,402444,21,8,338,151,134,285,141
d87b22e3-cda5,168796.2,36050931410,63497270,168796.2,995956424,20496,223,2176,17,11,192626,216,209,425,214
a656a450-2a5e,1,161625.1,292539,1,7544,7544,355,3597,20,14,12,34,27,61,32
3429a7c1-ade8,1632372.1,10081746011.7,158693705,1632372.1,7896917791.2,1428960,687,5788,17,11,1221783,212,216,428,216
ab4b919b-0f28,1200,39801896.8,8491394,1200,3606984,10096,962,8440,30,24,1315,137,132,269,135
9c74a09a-f991,188,1125828.5,273201,188,371286.4,2064,318,3102,20,14,21496,71,87,158,80
6f83a6ae-af9e,8,147375.7,98323,8,12376,1648,292,2978,17,12,8,33,38,71,37
7f611258-00f4,20271.3,515804422.7,18322106,20271.3,191799365.6,12400,289,2808,19,14,20289,174,182,356,180
6030ead4-bc44,1,117956,117956,1,1416,1416,653,5473,17,9,1999,31,6,37,18
9b096025-df6b,47,3920604.2,6177709,47,721448,15640,818,7130,20,13,48,88,97,185,91
dce6df15-21e1,4558.7,62249893.6,3769566,4558.7,7296377.6,7592,934,8225,22,17,4412,147,148,295,147
c05d23fb-689b,10,193975.9,49745,10,6848,896,223,2259,21,13,10,37,26,63,34
0218b02b-8678,48742,1776763141.4,5302309,48742,364193336,23648,380,3712,22,16,49872,192,197,389,194
6bff29aa-2dc8,211.4,5554836.5,165211,211.4,946375.2,15720,316,3090,19,14,26962,97,105,202,102
e0fd4289-d1e8,4,34901.33333333334,19551,4,13200,4040,622,5170,18,9,4,14,41,55,28
7468811d-181a,4,276702.8,134421,4,11456,3224,630,5232,19,14,4,46,37,83,40
50caa02f-8c96,179.4,832215,268333,179.4,143177.6,2752,219,2154,17,11,287,60,68,128,63
64410e89-9de5,39.4,426461.3,93007,39.4,24051.2,792,567,4595,17,13,16,52,46,98,49
0be4c2d8-afae,2.2,26119.2,38640,2.2,2964.8,1448,287,2797,19,13,21496,10,12,22,10
7da2357a-551a,145.9,537800.8,522953,145.9,223808.8,3848,192,1886,17,11,228,55,81,136,68
6261c60b-3006,43359.8,1538654451.5,624476061,43359.8,352017288,1306024,413,4031,26,19,43728,189,194,383,190
cc0dd5d9-f063,812.8333333333334,6830100.333333333,1339514,812.8333333333334,2961238.666666667,12288,653,5475,19,10,846,104,126,230,116
10d131df-d475,17406.4,471533712.6,29069245,17406.4,125923227.2,88456,261,2674,17,13,21762,171,177,348,173
cf7e9a55-1465,44656.3,2068754096.9,492678052,44656.3,846810937.6,24184,120513,1619815,56,47,45459,199,208,407,202
9be72353-765f,436.5,3704923.3,125160,436.5,262668.8,792,196,1804,19,13,601,86,83,169,83
2d554615-8122,15,87228.6,46343,15,8312.8,752,290,2969,19,14,15,24,30,54,27
1c0c07ae-92d0,70,4138527,206252,70,482273.6,7256,159,1552,12,7,70,90,91,181,89
f7ccd965-9015,86,1068281.4,279802,86,168386.4,2600,328,3386,19,13,733668,70,70,140,70
9a890938-97d7,2264.5,28773207.4,7536070,2264.5,8877696,5208,329,3242,17,12,1999,130,150,280,139
d670547a-ae26,178.3,21550250.3,457484,178.3,1355553.6,17160,60015,807572,23,16,22925,124,118,242,120
58195306-8607,326.1,2236502.1,119283,326.1,193314.4,784,196,1804,19,12,434,80,75,155,78
f9a72dc4-5ba2,12,621878,116662,12,111039.2,10712,289,2806,17,13,47479,57,65,122,58
e09f777b-1797,694214.6,1946882485.5,252241630,694214.6,2902936816.8,855976,289,2885,17,12,1751,194,214,408,203
435ad4d4-2098,3.2,1443066.3,3975567,3.2,70814.4,29672,289,2809,20,15,22731,77,60,137,69
4b66a4bd-7c22,43494.9,1581674150.7,482737466,43494.9,373696832,76888,444,4337,28,21,43873,190,198,388,193
85f791a1-4568,4,83752,48533,4,5040,1320,777,6693,21,14,8,23,19,42,19
929b97d1-dbc8,2,261332.1,270895,2,9624,4936,29889,402587,26,10,2,44,35,79,39
a98b0228-7872,353474.6,3931405371,76272170,353474.6,1967972600.8,28696,1629,15305,51,43,109386,206,213,419,210
bdaabee5-6d10,805.1,7402350,482472,805.1,798531.2,6288,764,6804,28,13,112,106,100,206,105
6c1c2e64-20ba,5.8,162816.5,83652,5.8,48385.6,10312,881,8856,52,34,9,35,57,92,47
b37c84ff-21c6,80045.6,440273660,51042558,80045.6,195713816.8,13056,814,7109,21,16,83248,168,183,351,174
423730c0-7503,22296.9,693178301.9,5667828,22296.9,157004964,1327704,287,2798,20,16,22728,180,181,361,183
b16d59b5-41f2,86,6438568.9,240075,86,549370.4,7552,223,2179,19,13,376,100,93,193,96
b43a4efc-d345,306.1,6040999.8,197994,306.1,177334.4,4152,653,5473,17,9,1999,98,71,169,85
386dd6ed-fa3a,8697.5,53916480.2,23076497,8697.5,21849336,9296,437,4282,22,18,9219,141,158,299,152
8bdfe62b-4acd,2040.2,11234292.5,1525347,2040.2,6505488.8,9992,821,7138,24,18,928,116,145,261,130
0ba98518-957f,870122.3,176535771.7,8057500,870122.3,41778681.6,1304,30467,407305,18,13,381929,159,169,328,165
8a87006d-4295,14,1391970.8,211529,14,62768,4544,210,2167,21,14,2,75,59,134,67
ea179097-bb4e,60708.9,3347438217.7,40177042,60708.9,447923979.2,23520,60082,808216,31,21,66942,204,200,404,201
e2813d86-aba4,1,114341.3,137896,1,9056,9056,219,2154,17,13,26,30,34,64,35
c5d66fec-3a16,462.7,5095305.8,237417,462.7,1503516,10368,824,7235,23,17,928,95,119,214,110
f5e8d58e-a5a8,19,2512487.2,430154,19,885537.6,56584,873,7618,24,15,19,83,104,187,93
5855eafa-7b76,7,305270.1,124124,7,33686.4,5112,597,4919,20,8,7,49,50,99,51
b4b202a4-1133,152,1175848.5,692110,152,195265.6,7408,294,2899,21,12,701566,73,76,149,72
54cc8b79-6e18,234.2,16928157.6,549117,234.2,1238006.4,6464,59752,804926,21,10,286,119,110,229,115
695ead0e-25ca,218,205551125.2,15380004,218,22463925.6,2232784,30008,403825,20,14,186,162,160,322,162
e3eb7808-9067,2,19095.6,26230,2,2336,1320,326,3380,17,12,805,8,9,17,9
4124683f-9980,17,237346.3,236814,17,27224,1952,417,4203,23,18,17,41,47,88,42
9539710d-da47,4,69981.6,61662,4,2264,616,746,6385,17,11,6,21,8,29,13
818b128d-46c5,22441.3,2009669675,823792700,22441.3,358142552.8,2656360,380,3717,27,19,22769,196,196,392,198
2859b70f-5964,1,17836.7,28885,1,824,824,100,950,11,8,8,7,3,10,4
f37f8aff-098d,1647.3,232725093.8,63122838,1647.3,22470474.4,3977688,958,8416,24,19,1720,164,161,325,163
